"","x"
"1","It takes courage to share one's story of racism &amp; abuse so that others will feel less alone. Thank you… https://t.co/8VhC7cjJiT"
"2","@dcassepoolman @bintondi THIS IS CHILD ABUSE. A SEVEN YEAR OLD HAS NO IDEA ABOUT HER SEXUALITY. SHE IS JUST DOING W… https://t.co/vjKqmxw2mL"
"3","Understanding Narcissists &amp; Body Language: Narcissistic Abuse Recovery H…  https://t.co/mqSshJ4sVm https://t.co/mqSshJ4sVm"
"4","@AlexAndersonMD @doc__wils They exhibit the typical patterns of chronic abusers. They’ll apologize and then it happ… https://t.co/Bc6EX8yvax"
"5","@JaWoodle @Vedui42 any chance you guys could help this loving soul stop the abuse he's receiving? @YouTube don't se… https://t.co/BTkQiRqicG"
"6","That’s child abuse plain and simple, honestly who the hell would want to date a person you know is crazy https://t.co/0x8dnbmzNo"
"7","@cblackst @WordsandGuitar @SeamusORegan Seamus, you are shameless! What your govt is doing is procedural abuse, del… https://t.co/phbzDAtvbL"
"8","@jaljr @MAGA2ARIGHTS This child abuse, pure and simple. Tell me what kid around that age is so consumed by their se… https://t.co/SC1avHm5fS"
"9","@CBCManitoba The issue has to do with respecting the space and it's people who work and use the library.  It's not… https://t.co/N1okAkKjyM"
"10","After reading the writers guild fallout and how my content was taken from me without my consent how did she agree w… https://t.co/UHnIab8rqc"
"11","@Jim_Jordan Am I to believe that the guy currently turning a blind eye to the illegal activity in the White House d… https://t.co/KbByeyVKex"
"12","@CammiFaye They're trying so hard to cut down on abuse that they're leaving people who actually need it to die from… https://t.co/XXQsZ0btcn"
"13","@MoreFairytales @KaydeeKing Oh, I agree. I'm just saying how unusual that is naturally. I think it would have been… https://t.co/YgW0HdJpqJ"
"14","@RepMattGaetz It’s way past time 4 the President 2 go on the offensive. Declassify FISA apps, release names of cong… https://t.co/UQq2OQz29T"
"15","@mog7546 Not surprised a guy who refuses to testify and helped lead the cover up of the sexual abuse of over 100 co… https://t.co/BY2RIrqmaE"
"16","@SPD2212 @heeney77 @AnnaAnnaou @NaughtyForeign1 @alex_e_king @LucindaLakes @_Adrien_M_ @sxybio @Femi_Sorry… https://t.co/LhwNMFSWOi"
"17","@juliotrecoolio @39Sakuraba @davidhogg111 Didn't dare hit him with the hard stuff. I'd be arrested for child abuse."
"18","@Education4Libs Child abuse. Poor kid doesn’t get to make up it’s own mind, but being indoctrinated into perversity… https://t.co/O7OJse12EO"
"19","@TheBrometheus New mom here. I always knew about the potential for physical abuse but not sexual. Glad my husband w… https://t.co/vDTofN0xBc"
"20","@tasshinfogleman maybe they should focus on all the hate, abuse, and misinformation first?"
"21","@KathleenHawk4 @bhweingarten I believe he does...Barr is a genius making him stay and stand there. He knows RR star… https://t.co/WjW7nzf2gt"
"22","@johncardillo This is abuse, poor dogs"
"23","@MAGA2ARIGHTS @Gregory52594205 A 7-year old can't possibly make this decision. So dear old mom is making it for her… https://t.co/W7SVWZmpk8"
"24","@cyndellknight @raeslays @xoanell Girl no you better educate yourself on seaworld and how much they harm and abuse those animals"
"25","@ertanbozkurt198 @NBCNews We do but you have to report the abuse or they don’t know about it"
"26","@Technicallyowen @lizardkingfe @shonfaye Male and female aren’t identities, they are biological classifications. Be… https://t.co/7VDFNTlSCW"
"27","I'm going to be putting in a link to an article  below because its DISTURBING. It is about animal abuse and its HOR… https://t.co/VHrVmmHoK9"
"28","🙌🏻 ❤ Courageous for sharing his truth. Jagmeet Singh’s Love &amp; Courage https://t.co/MYXxOZCE7C via @torontostar"
"29","@gerhardchoc @patrickbeckcom Mr. Kuhn, this is not about smugness. This is about human health... and the catastroph… https://t.co/bXYOlarwE3"
"30","#RussDizdar  #TheLastEvangelist #DavidHeavener 
satanic ritual abuse in Amish communities, folks its world wide.
🙏f… https://t.co/xEj4kO4PjJ"
"31","Stevie Nicks - Edge of Seventeen (Official Music Video) https://t.co/REx4mr6gqF via @YouTube

STEVIE NICKS CONCERT… https://t.co/F3rPN2T9oK"
"32","Great story and in-depth reporting by Michael O’Loughlin here. https://t.co/PX1RYbGVks"
"33","@realDonaldTrump And congress wants u to believe more investigations are legitimate when they don't have the power… https://t.co/Z6zHP6VEHa"
"34","The challenges facing priests who are falsely accused today. https://t.co/Ke0asBxPWh via @americamag #MeToo… https://t.co/zokTKv9H5R"
"35","@TrichDee @jamesdeens @DisparatePost Not 'British', English establishment. Wales and Scotland suffered similar indi… https://t.co/S0iHNYmSHZ"
"36","#porn #industry is an abuse industry, targeting everyone in every support !
Fight the porn industry by installing… https://t.co/7PJQ6oxpAv"
"37","@therealkevinTE The resister family safe place to speak heals~accidental healing moment from my #PTSD sexual trauma… https://t.co/6cd25MHW8S"
"38","What are your thoughts on this??? https://t.co/PApVOc83WB"
"39","@StrainCentral I've never done harsher than edi's, 4/20 is like Christmas or Halloween for me every year.  I guess… https://t.co/UZz4FBaw6X"
"40","The Catholic Church gets much deserved shit for the abuse of children by priests. But, if someone were to scrutiniz… https://t.co/oZKDX1rdrZ"
"41","My Top 3 Tips On How Handle A Toxic Family!” on @upjourney
https://t.co/KanqK5XQlq

#family #selfesteem #abuse… https://t.co/Iur44CraHd"
"42","@doc__wils Part 2
Residents are also employees and you have the same rights as the other employees including compla… https://t.co/rjjsbLijLF"
"43","Soccer players in England boycotting social media in a protest against racism were targeted with racist abuse about… https://t.co/FWTs6f2swZ"
"44","Kentucky has the highest rate of child abuse victims. You can change that https://t.co/TQOPsNnx3P"
"45","George Pell Sex Abuse Conviction Unsealed in Australia - The New York Times https://t.co/Inox7Dhg44"
"46","The ongoing experiences of racism and the victimization of boys are terrible, ongoing stains in our society.… https://t.co/8DXox5WIQR"
"47","You stupid. He very well may have called you a terrorist and deserved what he got but, you recorded yourself assaul… https://t.co/s7X61TsErp"
"48","With all the unconscionable crimes, 1 of worst is t admin’s treatment of IMGs, the most egregious: separating kids… https://t.co/PgXNvCZWfg"
"49","@TomFitton @realDonaldTrump And hiring a person who believes a President can't obstruct justice isnt an abuse of po… https://t.co/0m7XSGU2p0"
"50","4 Badass Angels: EASTER #Access4All #inclusion #MentalHealth @TheWarAmps #bully #PTSD #abuse #Grief #suicide… https://t.co/r5bjfmJPxr"
"51","@EricIdle @AprilDRyan @BanjoHfuhruhur This is God’s substance abuse era"
"52","@a_dogs_journey How many did you abuse making this one?"
"53","@whca REVOKE April Ryan’s Pass NOW! Bann her from the White House or shut it down altogether! We are tired of those… https://t.co/BKzlLcu0ih"
"54","Players boycotting social media over #racism receive abuse 
https://t.co/VEtIxbndfO / Fighting racism is everyone's fight..."
"55","In the first four months of Delaware's new online addiction treatment referral system, health care providers made 3… https://t.co/cD0pLkwWR3"
"56","The claims in the dossier about @carterwpage are ludicrous. Those claims are the most consequential, b/c they were… https://t.co/WbIy9bfbtC"
"57","@TheRynheart Child abuse"
"58","Happy 420 my friends! *takes two huge bong hoots and thinks about how much abuse is probably going on in the Mennon… https://t.co/J5KFdaPnT4"
"59","@4par If you want to interview me during April (National Child Abuse Month) I'd be available April 29 or 30. At tri… https://t.co/AQXreMGpSn"
"60","I don’t think i should have to bring out the list of all the abuse, evil, toxic shit my mom has done &amp; continues to… https://t.co/o9gZZB4egT"
"61","Abuse of Power (@ Sanctuary Detroit) 3-29-19 https://t.co/sy7LdGJiex https://t.co/qrY07roIH9"
"62","@Eminem It’s the illuminati of substance abuse"
"63","Aside from abuse, halting the father's time with their child harms the child more than anyone. 

In the women's sel… https://t.co/hc4AetAGD2"
"64","Just a reminder that all we’ve asked is for @GovBillLee to make a statement on admitted sexual abuser #DavidByrd. I… https://t.co/JLXLyporHO"
"65","@realDonaldTrump 100% untrue. Did not look at ""collusion""- at all. Rather at conspiracy. Reported you only failed i… https://t.co/gWu3DxT6hi"
"66","Seconds after I tweeted @FBI @FBIPhiladelphia @TheJusticeDept #FBI #WilliamBarr about being to SICK to go to PhilaU… https://t.co/h8Plix7lO0"
"67","In the first four months of Delaware's new online addiction treatment referral system, health care providers made 3… https://t.co/2dGEqras4f"
"68","@davidmweissman What was the “Obama power abuse” conspiracy theory?  Being a normal person I hadn’t heard that one."
"69","@AlexCSinger16 The House should vote on a resolution acknowledging that a) the president likely obstructed justice/… https://t.co/KkHdLuEzLr"
"70","IG: recipesforselflove
.
#healingtree #healingtrauma #nonprofit #abuse #trauma #ptsd #cptsd #childabuse #strength… https://t.co/eD5oIbqAhw"
"71","Just bought some #FreeBritney shirts to show support for Britney Spears and the abuse she is facing in her conserva… https://t.co/SN6HkMhRep"
"72","Understaffing is perhaps the leading cause of #nursinghome neglect and abuse. Here's what you should know about thi… https://t.co/s1tGHocFOr"
"73","@JedRose17 @realDonaldTrump This is like saying ""BEST MOM EVER. NO CHILD ABUSE!!"""
"74","@iselacipres @yp_hollywood What does Obama’s presidency have to do with the abuse of power and excessive force disp… https://t.co/RKgfA1VDpX"
"75","Home Office, councils &amp; insurance firms colluded in child abuse cover up, inquiry reveals https://t.co/9KgWJJSNh0"
"76","@AMFrankenberger Complicated in that I am more worried about the abuse of using power in the crim court against poo… https://t.co/8n4CcB0xwB"
"77","@fras99 Respect your 15 year old sons right to make his own decision. It sounds like by refusing to wear it and get… https://t.co/aTh0uUadzB"
"78","#Enough

We are making a stand against racist abuse.

The gift of our game comes with responsibility.  While it see… https://t.co/K8l8OXilT0"
"79","Why I support decriminalization of #marijuana 1. Study w/o fear of @DEAHQ &amp; other too powerful Fed Police depts 2.… https://t.co/yhFznSUkkM"
"80","Abuse is never okay. Unless you're going to spend the time to give it proper narrative weight you don't get to throw it in as flavour. 2/"
"81","@DoryEdwards @djsproudmama @RashidaTlaib Exactly. No justification for that abuse. I don’t care if the kid mouthed… https://t.co/tJKKkzfQPL"
"82","@RBReich Sounds like full on abuse of power. Not just obstruction of justice"
"83","@lexforchange 4/ another good list and explanation of treatment approaches; https://t.co/hmTwmOkA4n

And lastly I'l… https://t.co/HtxFfAE9sN"
"84","Drug Abuse: Caleb school dissociates self from Lizzy https://t.co/XzSrddWp31 https://t.co/PVhbV6jkEO"
"85","Remember: You can help protect your children from sexual abuse by being active in their lives and teaching them saf… https://t.co/TtlRso5uiY"
"86","@NateSilver538 Really🙄 pubs impeached clinton for one lie and abuse of power what trump has done is 100 times worse #Hypocrisy"
"87","@ttcu Tahlequah Branch Mgr, Todd Matthews and ⁦@RiverHawksMBB⁩ head coach ⁦@mdowneyNSU⁩ supporting ⁦… https://t.co/0X9eASiDPe"
"88","Abuse https://t.co/4Vfwp1huto"
"89","Parenting #Autism is an impossible task, but I'd rather do it ""wrong"" with love and empathy than like this. https://t.co/wypEGTo1dO"
"90","@NForestein @epra72 @Rumphress I’m against Israel being an ethnostate. I despise their occupation of Palestinians’… https://t.co/85wrsqyoAf"
"91","@jaljr This is child abuse, plain and simple (should be anyway)."
"92","@johncardillo Trump republicans evil men continue to abuse, denigrate women and children @SenatorBurr @SenatorCollins @IvankaTrump"
"93","@fras99 Thank goodness she didn't have a daughter! She's weak, She has no respect for herself, She's definitely not… https://t.co/aKBxR4MpM0"
"94","Herbs is the healing of the nation nonetheless the Cannabis herb get use and abuse so often and still manage to ser… https://t.co/f1pweJ2043"
"95","@debil_kill Very interesting however reason people don't do anything because he is violent people care about their… https://t.co/fd0R92rugs"
"96","@StargazerBlake @davidhogg111 So you're pro child abuse? And God damn is it possible for you to sound any more raci… https://t.co/aD4AzkewaN"
"97","Ventolin Abuse Guide: 3 Side Effects &amp; How To Beat It 

https://t.co/2DcOhGnNeu

#diet #health #fitness #asthma… https://t.co/B3jtVAGRq6"
"98","@savannahsmith88 @Distinct_Words Child abuse, period. Her parental rights need to be taken away so the child can have a chance."
"99","THIS IS WORST THAN SICK,BRAINWASHING KIDS TO BE GAY.THE ONES PREACHING JUST WANT TO ABUSE THEM… https://t.co/1dSGToYIrc"
"100","@Education4Libs I was thinking the exact same thing. Good people do not knowingly &amp; voluntarily participate in the… https://t.co/OmGEp4LxCK"
"101","@AP Disgusting display of child abuse"
"102","Surprised! ~ 10% healthcare workers abuse drugs. @TJCommission issues drug diversion advisory. Diverted drugs put p… https://t.co/2fVGSkxLnA"
"103","⁦Another great essay by ⁦@chrismbrunt⁩ in Oxford American—this one about politics and recovery from substance abuse… https://t.co/ktRXqRjOln"
"104","This is just beginning for #Pakistan. So far #CCP has used technology they learned from the West to  abuse people i… https://t.co/BB073K61CK"
"105","@Sekusa1 Seems to me all these inbreeds do is abuse women and children and start Wars!!"
"106","C'mon #PETA, this has to be considered animal abuse, right? Wtf? https://t.co/z7lRYIkKDQ"
"107","@QuakerNana Yes. Phonetically it is written the way you did.

wuss
/wo͝os/
INFORMAL
noun
1.
a weak or ineffectual p… https://t.co/81zJ8DMU8w"
"108","@DisIdealist @chrisdysonHT I think it depends on the interpretation of 'violence'. One interview I saw this morning… https://t.co/PNFvL4ljku"
"109","CW Abuse
TW Abuse

When I was 4-5 years old, she’d tell me she wasn’t going to love me anymore because I was “bad.”… https://t.co/unEwOrCgD5"
"110","@AriFleischer Ari, if we just move on what is going to stop this from happening again?  By this I mean abuse of FIS… https://t.co/qIoofb9eeb"
"111","Man turns himself in following horse abuse case in El Paso County
 https://t.co/Xt9TAGT6Di"
"112","@RN_JB7 @susieqfarmgirl No apologies. Abuse of power = indictments."
"113","Kim Kardashian Says She'd ""Never"" Abuse Her ""Privilege"" to Get Her Kids Into College (Cydney Contreras / E! Online)… https://t.co/5WMstCEayb"
"114","@UKIP The MSM are literally reporting on it, and the people responsible are literally being sought and arrested and… https://t.co/N8eW7vt6ld"
"115","@ladydeesblog @TudorChick1501 @goldenpoppy100 @walnutwhip19 We have an account that MM was abusive to staff at Admi… https://t.co/mmKvQ73ad4"
"116","Correct on both counts, Professor. Let me respectfully add: 
3. If we fail to impeach Trump, future POTUSes will us… https://t.co/jfaYgcclQv"
"117","Hey @jack
I contacted @Twitter about this and their emails tell me their review did not find abuse or harassment.
T… https://t.co/5bvmi462Gh"
"118","We shouldn't eat to rapidly and we shouldn't eat too many varieties of food at one meal. Once we do this we abuse t… https://t.co/oUIwMW6LfM"
"119","CW Abuse
TW Abuse

I remember hearing my mother loudly proclaim that her daughter was handicapped and needed specia… https://t.co/t1CxgjbxN1"
"120","Someone very close to me suffered domestic abuse at the hands of her partner for many years. When I lived in Alaska… https://t.co/8pmejMJAnf"
"121","@davesharp59 @2Rarely @loudfence @ENDCLERGYABUSE @netgrace_org @Darkness2Light @CLAN_AU @DianeLangberg @KleinRevd… https://t.co/MxlpVa696w"
"122","@thedailybeast This is child abuse! @CharlizeAfrica"
"123","@realkodybrown I hate how people judge consenting adults. I know there is child abuse out there but when adults are… https://t.co/DWUgHA4mJ5"
