"","x"
"1","@CBSNews You mean the kid thats a victim of a Hate crime,attempted murder by a Black guy❓🚨🚨🚨 
Just the everyday Bla… https://t.co/8etwuYaL9k"
"2","Do you think Jonathan Moi had something to do with the murder of Julie Ward?"
"3","LAPD Reportedly Still Considering Charges For Getaway Driver In Nipsey Hussle Murder https://t.co/ADBY6WSUq1"
"4","Son Charged With Stabbing 66-Year-Old Father To Death In Millville, Police Say https://t.co/GyessPUIpI"
"5","@Billkovo @PPIAction If you're too lazy to get a vasectomy or use a condom, you have no one to blame but yourself.… https://t.co/EQNflNncXX"
"6","Police: Man charged with attempted murder after carrying woman into path of dump truck https://t.co/JpINwq7qyn https://t.co/4asVvivLMf"
"7","@SayWhenLA Some of the damage is permanent. Kinda like the loss of innocence and comfort after the murder of JFK."
"8","@RethinkOrange @JenLast2 @mini_mama7 @OwlFoxVT @periwinklewidow @Jayne1115 @Heather4amazon @katehanson… https://t.co/HKKmSlTQT0"
"9","Police: Man charged with attempted murder after carrying woman into path of dump truck https://t.co/B0R2s9tDTD https://t.co/dyhDsu5nZx"
"10","Police: Man charged with attempted murder after carrying woman into path of dump truck https://t.co/XXuIiUhQV9 https://t.co/gH9En1YM3Z"
"11","@PerezHilton They played a part, they are an accomplice to murder."
"12","@SSBU_Bowser Didn’t he literally murder Samus’s parents 🤔"
"13","@h_oneyXo Black lighting, how to get away with murder, stranger things"
"14","Police: Man charged with attempted murder after carrying woman into path of dump truck https://t.co/6HujmVuNZA https://t.co/2LPyFEXYpQ"
"15","There’s a fuckin’ car alarm that has been going off for the past half hour and I want to murder whoever’s car that is."
"16","Two men have been arrested in connection with the murder of Lyra McKee  https://t.co/pJm33y7PXl"
"17","The Government Is Paying Children To Brutally Murder Animals #care2 https://t.co/tP9yUu7G1F"
"18","@DecentralizedP2 @thehill Shooting an unarmed kid holding Skittles is murder. You’re blocked."
"19","@gtconway3d Same idea as attempted murder---you don't have to successfully murder someone to have committed a crime."
"20","Dave Curnow killers filmed shaking hands after young soldier's murder | Daily Star - Daily Star… https://t.co/EM2X5gQUpP"
"21","Its a blatantly obvious fact that libtard elite/ Dem socialists, are encouraging mass illegal immigration in order… https://t.co/Am6H5KYlgn"
