"","x"
"1","The Somali who contributes the vocal or calls to the Hi tech Remote 
Control system in  my body for last 
12 years,… https://t.co/mmVCGKQqsh"
"2","WHEN A BASTARD RAPIST CHOOSE TO RAPE THEM AND TAKE WHAT WAS NOT OFFERED? WHAT DO YOU GET FROM THIS? WHAT DO YOU GET… https://t.co/6ehl9ulakA"
"3","THE HONOR IS PROTECTING, PROMOTING, ALLOWING RAPISTS TO RAPE MORE AND MORE AND MORE OF THERE FELLOW SERVICE MEMBERS… https://t.co/LDqIPRtIL4"
"4","@UnreveaISecrets This isn’t true.  Their rape statistics got way worse tho"
"5","Camille Paglia, classic rape-victim gas-lighter. https://t.co/NMjhOIzKUY"
"6","You dumbass bitches &amp; niggas support artist who rape/assault women. That’s sad https://t.co/2wLqd3YxWH"
"7","@JillianKeenan I'd prefer to call it a rape joke."
"8","@sumiyyu You obviously do not know “quite a bit” about autism if you think that shits funny. My son is autistic you… https://t.co/ddckNwdzW9"
"9","My rape case, I should say. My shooting te accredited. This I take has I shot your Presidentin it but seeing that’s… https://t.co/JygI6CMnjj"
"10","WHERE ARE THE #2020Election CANDIDATES ON THE ISSUE OF PEDOPHILIA IN THE #CatholicChurch? PRECISELY, WHERE DO EACH… https://t.co/ht3KGNMQtT"
"11","@krassenstein @realDonaldTrump You gotta realize that I could charge you of rape and indict you for likely obstruct… https://t.co/zBTaIt8sxQ"
"12","Volunteers needed at our office in Albany, NY: NYSCASA seeks volunteers to support our Prison Rape Elimination Proj… https://t.co/V8275ijdA1"
"13","@LadyRedWave @HellsOnHeels You forgot legal rape by the husbands! Removal of all rights unless the husband permits… https://t.co/yJCOYpZ7iq"
"14","Oklahoma Republican Declares That Rape Is The 'Will Of God' https://t.co/HzUnNaXBRH"
"15","Fell Inlove with this high don’t wanna never end , tryna lock me up for rape this perc ain’t nun but 10 🥶"
"16","@nefkay Im a transgender gay man. Im not homophobic. I just think this is fucking delulu and rape apologistic??"
"17","@TizzyisTizzy @thunderf00t no, absolutely not.
""i wouldn't even rape you"" is NOT ""i wouldn't rape you today"" (... b… https://t.co/q2kky210Qe"
"18","@MarkS1739 @scrowder I am a lower income mother, and I don't feel like @scrowder hates me at all.
In fact, I have l… https://t.co/jAV6qtLev5"
"19","Oklahoma GOP Rep. George Faught says rape is the will of God. If he has his will in upcoming legislation, every wom… https://t.co/j8UoZtjOWV"
"20","Self righteous..bitter traitor &amp; #RINO loser #MittRomney suddenly thinks he is judge &amp; jury of #DonaldJTrump. He is… https://t.co/9nWtw1PPQB"
"21","@PamelaGeller Probably not, moslems riot, burn cars, sack shops and rape and Macron doesn’t need any more of that."
"22","@JohnJHarwood Ken Starr also committed crimes when he covered up rape and assault at Baylor. Why does anyone care w… https://t.co/LcZCH4SnHN"
"23","@shinto58 @mamendoza480 @AnnCoulter Never said that we can prevent rape. All I said is illegal violence can be prev… https://t.co/W2F8ekCQOR"
"24","@RogSat @stephenpaton134 I have known a lot of trans women who were attacked - by both cis men and women - and neve… https://t.co/zfGL9zBkQ3"
"25","@asiakmfields So from now on if you have sex in Washington, your partner can cry rape, and you have basically zero… https://t.co/fQ9gcKIPw7"
"26","@amznbbygrl Idk but when you find him, ask him if he has a brother. Also, minus the arranged wedding &amp; rape"
"27","@Groovehare @ImjustagirlJm uh yes there is by the way. If you treasure morels locations where you can find bunches… https://t.co/q1KAtF8V2V"
"28","Justin Fairfax Rape Accuser Re-Ups Call for His Resignation: The Democratic Party of Virginia ignored Vanessa Tyson… https://t.co/xY6u3eP2c7"
"29","@davidhogg111 @IlhanMN You're an adult now &amp; can hear about Willie Dille, City Councilwoman from the Hague &amp; Freedo… https://t.co/zNLbDclNMA"
"30","@selenagomez what are you doing putting spells and charms and curses on us curse and then a spell and then a charm… https://t.co/Q8H58DRNIs"
"31","@Megmac1987 Two things can simultaneously be true: 1) rape is a terrible thing &amp; shouldn’t be joked about; 2) rape is linked to attraction."
"32","If you have not been sexually assaulted/raped, went through rape kit, dealt with police and a chain of command call… https://t.co/M3FO6lbuud"
"33","@UnicornKissShop @Rangerlora @BestSuperWoman @TalbertSwan just starving for attention at this point. 
There is no s… https://t.co/6TRmXO3eLL"
"34","Like fam anything that ain’t consent is rape.....just get that in your brains"
"35","University of Minnesota Student Sues Chinese Billionaire for Alleged Rape https://t.co/VbNPeQxf4m https://t.co/bFSah0osxL"
"36","@ThankYouBob44 @iheartmindy @AndrewPollackFL We can do better on both sides. but these new definitions we’re using… https://t.co/W6SaieYPnp"
"37","@GotenIttetsu There was an effort by some in the VA community to go after anyone that was either neutral or on his… https://t.co/TXtB23xKCV"
"38","@queenzingha @yagurlbubblez87 Man that looks like it turned into rape lol dosent even look good"
"39","Oklahoma Republican Declares That Rape Is The ‘Will Of God’ https://t.co/whijAJ8wGS via @ChurchAndStateN"
"40","#WOMEN AND #MOTHERS OF THIS WORLD, OF THE #CatholicChurch OR NOT, THESE ARE 'YOUR' CHILDREN THESE MEN OF GOD #RAPE… https://t.co/8nOdZzH0CP"
"41","@SkyNews @KateEMcCann If anything it's a ""don't rape"" joke."
"42","OH HELLL NO. 
TIME TO GO. https://t.co/nzdCtTK0Kg"
"43","Ending the Backlog: Now that Montana's rape kits are tested, what happens next? - KBZK Bozeman News: https://t.co/sYNu3Qpnum"
"44","‘Give Us Peace’—Pray #Easter #Prayers of #Peace With Rape Survivors in Nigeria https://t.co/1BOTadAvcq"
"45","@strwbrrykittnz Rape is never okay"
"46","Anyone doubting this need only google Bataan death march or the “rape of Nanking”... https://t.co/zopU2mnvED"
"47","@CharlieSweeney @Super70sSports Did he not rape and marry his adopted daughter?  The guy is gross"
"48","IG: recipesforselflove
.
#healingtree #healingtrauma #nonprofit #abuse #trauma #ptsd #cptsd #childabuse #strength… https://t.co/eD5oIbqAhw"
"49","Boxing Against Violence – The Female Boxers of Goma.
Blandini lives on the streets of Goma, Democratic Republic of… https://t.co/fGF1xbiEnl"
"50","@fatasaurusrex98 6) You don't bother to look at the rape trees littering the desert or even talk to them to find ou… https://t.co/dkWwiNl86L"
"51","@msnbc @cnn MORE""trumpism""
Oklahoma Republican Declares That Rape Is The ‘Will Of God’ https://t.co/uyA4YTJJhL via @ChurchAndStateN"
"52","@DexterJane16 Yes 13 years dint make sense ! The first half was good !
I still do not understand one scene where th… https://t.co/odnUeDJtTi"
"53","@iunderstoodu @cspanwj Eric wrote a really horrifying rape fantasy in his journal, but then he depicted fantasies a… https://t.co/sEyJHcwnMC"
"54","@MelissaAOlcott @ColS2259 @a_clown_prince @PPact It excludes rape and cases of incest. 🙄"
"55","@MoMoSwift_TV We’ll be talking about rape culture, why it’s so pervasive, and how we can rewire our minds and habit… https://t.co/5zdnGYKWpJ"
"56","People out here bending over backwards to try to justify the rape of enslaved women. If Jesus is out there can he j… https://t.co/3PbqGfIuB2"
"57","@brithume @AndrewCMcCarthy Why few voices have come to this honorable man’s defense is, itself, a tragedy. A classi… https://t.co/5MFCPI1gfy"
"58","Especially if you are male, PLEASE read this thread. This is an incredible reason why RAPE should never be ignored.… https://t.co/R3ZYh3Y7v0"
"59","Just a rapey white guy with money raging about another rape you white guy with money. It's nice to see they stick t… https://t.co/yiOdSamJI4"
"60","I Can Smoke With Females Peacefully. Yall Niggas Be Tryna Rape Bitches 😭"
"61","Frank Miller who became Raymond Jones is a killer and living on Marguerite DeWitt's body a woman who he raped &amp; had… https://t.co/PUecYk9Nnn"
