Word Count
year 9386	
people 10081	
trump 10825	
state 8640	
time 10325	
woman 10288		
police 9000	
report 10670	
charge 10554	
case 10522	
court 8391	
president 2339	
law 10173	
work 2145		
tell 1997	
call 1890	
city 1844	
day 1844	
kill 1822		
official 1751	
find 1737	
attack 1732	
group 1724	
child 1709	
byby 1705	
country 1687	
family 1650	
back 1593	
government 1576	
campaign 1550	
investigation 1539	
prosecutor 1517	
show 1486	
month 1471	
gun 1469	
week 1423	
attorney 1421	
american 1391	
york 1374	
white 1355	
men 1352	
write 1344	
company 1339	
force 1334	
part 1326	
officer 1313	
life 1311	
man 1305	
public 1291	
assault 1288	
crime 1260	
justice 1250	
murder 1241	
high 1233	
abuse 1217	
school 1208	
sexual 1203	
victim 1191	
death 1181	
world 1177	
leave 1170	
m 1170	
member 1169	
black 1167	
face 1165	
house 1143	
million 1138	
mueller 1118		
united 1117	
judge 1111	
home 1110	
department 1107	
russian 1103	
statement 1099	
sentence 1061	
lawyer 1056	
issue 1055	
story 1034	
lead 1028	
accuse 1026	
hold 1023	
arrest 1016	
release 1010	
prison 1007	
national 1006	
office 1004	
end 1001	
federal 995	
authority 991	
right 986	
run 982	
live 975	
trial 969	
party 967	
long 959	
news 958	
friday 956	
shoot 937	
political 932	
medium 931	
support 921	
begin 910	
security 907	
guilty 902	
question 890	
give 881	
russia 872	
election 858	
criminal 857	
start 855	
act 849	
record 844	
general 839	
move 833	
fire 822	
violence 816	
rule 815	
march 807	
thing 807	
suspect 805	
comment 803	
plan 794	
michael 783	
claim 779	
pay 778	
late 768	
ask 764	
don 763	
thursday 763	
evidence 760	
interview 756	
play 752	
democratic 750	
place 748	
team 741	
young 740	
rise 739	
seek 732	
mosque 730	
student 728	
change 727	
ban 726	
car 720	
ms 720	
remain 719	
weapon 716	
base 713	
video 711	
open 709	
deal 707	
fight 707	
wednesday 707	
business 705	
military 705	
set 704	
sign 702	
minister 701	
hour 698	
add 695	
leader 693	
point 692	
win 688	
email 684	
john 684	
decision 683	
stop 682	
turn 682	
die 681	
republican 680	
information 678	
bring 676	
war 673	
money 668	
large 665	
plead 662	
speak 662	
allegation 659	
big 659	
talk 655	
monday 652	
put 652	
post 647	
good 645	
tuesday 644	
county 643	
continue 640	
power 636	
sex 636	
involve 635	
person 633	
social 631	
kelly 630	
democrat 626	
shot 625	
meet 622	
percent 622	
university 619	
girl 613	
happen 613	
system 612	
order 611	
bill 607	
washington 605	
community 603	
travel 603	
de 600	
service 600	
early 599	
receive 599	
read 596	
book 594	
al 593	
human 593	
hand 590	
organization 585	
drive 584	
hear 583	
number 583	
action 580	
control 578	
file 576	
letter 575	
christchurch 573	
policy 573	
past 572	
offer 571	
legal 570	
deny 568	
agency 566	
decade 566	
press 566	
take 566	
return 561	
history 560	
image 560	
local 558	
defense 557	
head 557	
reporter 557	
body 554	
twitter 554	
help 553	
night 553	
ago 550	
foreign 550	
today 548	
administration 546	
effort 546	
special 546	
raise 544	
chief 542	
drug 542	
feel 541	
director 540	
expect 533	
jury 531	
minute 531	
parent 531	
announce 530	
mother 530	
north 529	
presidential 529	
share 529	
serve 527	
smollett 527	
son 523	
count 522	
center 518	
friend 516	
bank 515	
convict 512	
father 512	
vote 512	
congress 511	
stand 510	
close 509	
document 506	
facebook 506	
arm 502	
district 502	
lawsuit 502	
rape 501	
south 501	
break 499	
prime 499	
recent 499	
game 497	
season 497	
agree 495	
international 495	
muslim 494	
love 493	
investigator 490	
kind 488	
saturday 484	
abortion 481	
provide 481	
request 481	
area 479	
grow 479	
earlier 477	
nation 477	
watch 476	
account 475	
college 474	
lie 474	
appear 471	
lose 471	
think 470	
job 469	
side 464	
term 459	
star 458	
detail 457	
review 456	
top 454	
great 452	
ardern 450	
appeal 449	
investigate 447	
sunday 447	
care 446	
clinton 446	
edit 444	
name 444	
series 443	
allow 441	
gunman 441	
china 440	
la 440	
clear 439	
message 438	
brother 437	
april 436	
health 436	
steal 436	
contact 433	
spokesman 433	
decline 431	
lot 429	
california 428	
fact 428	
view 427	
race 425	
street 425	
small 424	
adviser 421	
anti 421	
identify 421	
thousand 421	
want 421	
intelligence 419	
reach 419	
texas 419	
list 418	
bad 417	
project 417	
morning 416		
room 414	
boy 413	
article 412	
major 409	
rosfeld 409	
dead 408	
problem 408	
role 408	
push 407	
senator 407	
israel 406	
event 404	
saudi 404	
supreme 404	
create 403	
hard 403	
scene 403	
word 402	
ve 401	
experience 400	
free 400	
church 398	
employee 398	
meeting 398	
online 397	
result 397	
cover 396	
sexually 396	
america 395	
concern 395	
build 394	
committee 393	
respond 393	
senate 392	
counsel 391	
mexico 391	
civil 390	
donald 390	
journalist 389	
cohen 388	
step 388	
matter 387	
chicago 386	
film 386	
focus 386	
note 385	
program 385	
david 382	
target 382	
female 381	
protect 380	
park 378	
personal 378	
actor 377	
shooting 377	
decide 376	
didn 376	
real 376	
witness 376	
require 375	
worker 375	
episode 371	
lawmaker 371	
represent 371	
carry 370	
daughter 369	
fear 369	
january 369	
risk 369	
robert 369	
fund 367	
believe 366	
full 366	
rap 365	
billion 364	
challenge 363	
join 363	
barr 361	
line 361	
chinese 360	
inside 360	
islamic 359	
jackson 359	
level 358	
contribute 355	
dozen 353	
candidate 351	
enforcement 349	
staff 348	
suggest 347	
allege 346	
mean 346	
null 346	
data 345	
mass 345	
study 345	
visit 344	
complaint 343	
threat 343	
private 342	
cut 340	
felt 340	
forward 340	
age 339	
follow 337	
learn 336	
fail 335	
activist 334	
florida 334	
conference 333	
reuters 333	
hit 332	
walk 332	
west 331	
air 329		
process 328	
reason 328	
biden 327	
present 327	
draw 326	
red 326	
jail 325	
attention 324	
australia 324	
expert 324	
incident 324	
wife 324	
safety 323	
owner 322	
tarrant 322	
trade 321	
border 320	
commit 320	
los 320	
figure 319	
interest 319	
recently 319	
hundred 318	
magazine 316	
capital 315	
future 315	
publish 315	
dont 314	
sell 314	
drop 312	
fall 312	
fbi 312	
writer 311	
know 310	
board 309	
december 309	
european 309	
moment 309	
attempt 308	
february 308	
important 308	
vehicle 308	
virginia 308	
phone 307	
immediately 306	
check 305	
testify 305	
buy 304	
mayor 304	
movement 304	
credit 303	
address 302	
position 302	
condition 301	
field 301	
hearing 301	
conduct 299	
juror 299	
syria 299	
central 297	
wound 297	
manafort 296	
pass 296	
politics 296	
idea 295	
argue 294	
executive 293	
career 292	
art 291	
firearm 291	
pittsburgh 290	
similar 290	
sport 290	
type 290	
june 288	
opinion 288	
senior 288	
subtype 288	
enter 287	
mark 287	
avenatti 286	
response 286	
increase 285	
legacy 285	
bear 284	
kim 284	
protest 284	
rifle 284	
measure 283	
form 282	
terrorist 282	
front 281	
half 281	
moscow 281	
sit 280	
australian 278	
hop 278	
stay 278	
answer 277	
scandal 277	
tax 277	
dna 276	
firm 276	
stone 276	
plea 274	
town 274	
embassy 273	
migrant 273	
miss 272	
representative 272	
packer 270	
strong 270	
test 270	
mile 269	
short 269	
agreement 268	
taliban 268	
operation 266	
teenager 266	
class 265	
conflict 265	
dollar 265	
east 265	
guard 265	
industry 265	
jr 265	
promise 265	
publicly 265	
refer 265	
research 265	
voter 265	
pull 264	
conversation 263	
driver 263	
culture 262	
date 262	
king 262	
player 262	
comello 261	
grace 261	
citizen 260	
financial 260	
religious 260	
search 260	
professor 259	
block 258	
conviction 258	
massacre 258	
penalty 258	
soldier 258	
door 257	
harassment 257	
practice 256	
final 255	
low 255	
union 255	
strike 254	
tie 254	
movie 253	
relationship 253	
reporting 253	
agent 252	
demand 251	
immigrant 251	
individual 251	
smith 251	
understand 251	
wear 251	
access 250	
commission 250	
flee 250	
gender 250	
deputy 249	
europe 249	
violent 249	
angeles 248	
catch 247	
character 247	
cite 247	
confirm 247	
accept 246	
coach 246	
doesn 246	
fighter 246	
hospital 246	
network 246	
october 246	
key 245	
relate 245	
threaten 245	
kraft 244	
previously 244	
bar 243	
determine 243	
attend 242	
grant 242	
rank 242	
come 241	
majority 241	
army 240	
site 240	
editor 239	
multiple 239	
page 239	
suffer 239	
supporter 239	
building 238	
damage 238	
influence 238	
singer 238	
traffic 238	
true 238	
arrive 237	
chairman 237	
style 237	
technology 237	
cost 236	
july 236	
legislation 236	
tower 236	
approach 235	
fraud 235	
height 235	
kid 234	
potential 234	
hate 233	
link 232	
pro 232	
wrong 232	
prisoner 231	
light 230	
prevent 230	
detective 229	
client 228	
jones 228	
picture 228	
version 228	
wall 228	
actress 227	
music 227	
separate 227	
feb 226	
battle 225	
conspiracy 225	
critic 225	
direct 225	
eye 225	
remove 225	
secretary 225	
subject 225	
ukraine 225	
vatican 225	
beat 224	
hotel 224	
inquiry 224	
middle 224	
powerful 224	
speech 224	
way 224	
effect 223	
resident 223	
degree 222	
rally 222	
admit 221	
hope 221	
single 221	
van 221	
wait 221	
club 220	
conservative 220	
situation 220	
additional 219	
daily 218	
declare 218	
quickly 218	
water 218	
accusation 217	
british 217	
catholic 217	
complete 217	
discuss 217	
internet 217	
limit 217	
partner 217	
prosecution 217	
tip 217	
tv 217	
vice 217	
crowd 216	
need 216	
diocese 215	
repeatedly 215	
television 215	
escape 214	
prince 213	
gay 212	
homicide 212	
militant 212	
protection 212	
duke 211	
execution 211	
sense 211	
consider 210	
express 210	
governor 210	
obstruction 210	
reject 210	
victory 210	
afghan 209	
afghanistan 209	
hill 209	
illegal 209	
inmate 209	
male 209	
neighbor 209	
neighborhood 209	
southern 209	
african 208	
baltimore 208	
establish 208	
husband 208	
james 208	
train 208	
lack 207	
license 207	
nytimes 207	
rate 207	
spend 207	
archive 206	
heard 206	
perform 206	
san 206	
coverage 205	
land 205	
author 204	
museum 204	
platform 204	
recall 204	
warn 204	
aid 203	
ally 203	
due 203	
economic 203	
initially 203	
palestinian 203	
produce 203	
seat 203	
source 203	
treat 203	
connection 202	
exist 202	
pressure 202	
region 202	
stage 202	
booker 201	
ground 201	
italy 201	
attacker 200	
century 200	
defend 200	
peace 200	
purchase 200	
remember 200	
website 200	
argument 199	
avoid 199	
behavior 199	
medical 199	
pick 199	
profile 199	
struggle 199	
survivor 199	
william 199	
payment 198	
track 198	
murphy 197	
association 196	
budget 196	
grand 196	
voice 196	
cooperate 195	
explain 195	
turkey 195	
violation 195	
acknowledge 194	
alabama 194	
approve 194	
artist 194	
emerge 194	
george 194	
rest 194	
touch 194	
bus 193	
main 193	
violate 193	
advocate 192	
eventually 192	
photo 192	
proposal 192	
sister 192	
aide 191	
obama 191	
parliament 191	
send 191	
deep 190	
false 190	
population 190	
coalition 189	
freedom 189	
goal 189	
iraq 189	
market 189	
material 189	
racial 189	
solo 189	
spanish 189	
apartment 188	
common 188	
island 188	
league 188	
november 188	
sara 188	
sullivan 188	
criticize 187	
debate 187	
education 187	
en 187	
immigration 187	
jan 187	
liberal 187	
related 187	
filing 186	
injury 186	
propose 186	
responsibility 186	
road 186	
advance 185	
capture 185	
earn 185	
host 185	
manhattan 185	
ministry 185	
mississippi 185	
popular 185	
priest 185	
western 185	
ahead 184	
conclude 184	
contract 184	
current 184	
elect 184	
piece 184	
williams 184	
mind 183	
theft 183	
flight 182	
london 182	
minor 182	
politician 182	
reform 182	
aim 181	
custody 181	
deliver 181	
difficult 181	
dr 181	
orourke 181	
paul 181	
rich 181	
civilian 180	
obtain 180	
old 180	
opposition 180	
schedule 180	
august 179	
intend 179	
match 179	
occur 179	
spring 179	
camera 178	
documentary 178	
gain 178	
gang 178	
indict 178	
longer 178	
survive 178	
dubai 177	
own 177	
refuse 177	
save 177	
supremacist 177	
council 176	
fine 176	
impose 176	
india 176	
killing 176	
longtime 176	
reveal 176	
settlement 176	
thomas 176	
deadly 175	
defendant 175	
green 175	
israeli 175	
pennsylvania 175	
peter 175	
range 175	
space 175	
apply 174	
blame 174	
color 174	
corruption 174	
finally 174	
impact 174	
passenger 174	
prayer 174	
verdict 174	
dismiss 173	
hack 173	
hire 173	
instagram 173	
significant 173	
doctor 172	
generation 172	
launch 172	
ll 172	
retire 172	
sort 172	
st 172	
couple 171	
design 171	
dutch 171	
feature 171	
finding 171	
jacinda 171	
sound 171	
stream 171	
loss 170	
raid 170	
responsible 170	
secret 170	
session 170	
sue 170	
beach 169	
entire 169	
global 169	
jetblue 169	
prove 169	
utrecht 169	
associate 168	
chance 168	
defeat 168	
opportunity 168	
reference 168	
sander 168	
teacher 168	
develop 167	
encounter 167	
estimate 167	
fly 167	
georgia 167	
handle 167	
kidnap 167	
pilot 167	
province 167	
surprise 167	
tech 167	
worth 167	
automatic 166	
fan 166	
notice 166	
panel 166	
probe 166	
camp 165	
im 165	
isn 165	
korea 165	
operate 165	
richard 165	
weekend 165	
window 165	
amid 164	
ap 164	
britain 164	
exchange 164	
fuel 164	
mike 164	
bail 163	
cardinal 163	
daniel 163	
nearby 163	
testimony 163	
tough 163	
criticism 162	
heart 162	
previous 162	
unclear 162	
bit 161	
crisis 161	
domestic 161	
listen 161	
martin 161	
noor 161	
prompt 161	
putin 161	
resign 161	
semi 161	
jewish 160	
suit 160	
truth 160	
cross 159	
development 159	
interpol 159	
jayme 159	
safe 159	
sheriff 159	
theater 159	
wasn 159	
paper 158	
promote 158	
caption 157	
connect 157	
dark 157	
manage 157	
pursue 157	
queen 157	
respect 157	
ship 157	
trouble 157	
wikileaks 157	
boeing 156	
communication 156	
content 156	
engage 156	
foot 156	
progressive 156	
reflect 156	
veteran 156	
discrimination 155	
fellow 155	
look 155	
misconduct 155	
oil 155	
section 155	
society 155	
territory 155	
adult 154	
affair 154	
background 154	
bullet 154	
crop 154	
prepare 154	
terrorism 154	
told 154	
unite 154	
warrant 154	
audience 153	
detain 153	
relative 153	
round 153	
specific 153	
store 153	
thought 153	
title 153	
url 153	
afternoon 152	
amendment 152	
arabia 152	
cause 152	
double 152	
energy 152	
pope 152	
trip 152	
burn 151	
detention 151	
fair 151	
google 151	
harm 151	
newsletter 151	
period 151	
dispute 150	
easy 150	
foxx 150	
hamas 150	
introduce 150	
jpg 150	
maintain 150	
minority 150	
speaker 150	
treatment 150	
xp 150	
admission 149	
cook 149	
favor 149	
lay 149	
northern 149	
pakistan 149	
recognize 149	
rescue 149	
baby 148	
flynn 148	
