Word Count
murder 4009	
robbery 3724	
assault 3594	
rape 3481	
abuse 3265	
child 1451	
sexual 1428	
man 1277	
police 1223	
year 1166	
charge 1151	
woman 1150	
people 1096			
arrest 760	
suspect 756	
attempt 695	
bank 651	
trump 633	
call 597	
report 597	
arm 587	
crime 578	
case 570	
victim 562	
time 536			
accuse 429	
power 424	
girl 421	
kill 404	
life 391	
law 369	
news 367	
thing 363	
state 357	
weapon 354	
show 347	
love 336	
rifle 334	
sex 329	
support 329	
good 324	
sentence 322	
stop 315	
gun 309	
black 306	
find 306	
day 305	
prison 286	
watch 285	
back 280	
kid 278	
white 273	
story 272	
end 265	
give 265	
guilty 263	
death 259	
investigate 259	
commit 256	
car 255	
person 255	
god 254	
month 251	
bad 250	
guy 250	
president 247	
read 246	
talk 244	
leave 243	
video 243	
violence 242	
investigation 241	
store 239	
lie 234	
start 233	
april 231	
work 228	
break 225	
think 218	
family 217	
fuck 216	
young 215	
rob 212	
today 212	
happen 207	
county 206	
face 206			
drug 203	
justice 202	
parole 202	
student 200	
domestic 199	
point 197	
claim 196	
fight 196	
school 196	
boy 195	
driver 195	
jail 194	
lyra 194	
officer 193	
put 190	
attack 189	
parent 188	
shoot 188	
connection 187	
fire 186	
home 186	
clark 184	
run 184	
great 183	
mckee 183	
pay 182	
real 182	
wrong 182	
st 181	
survivor 181	
release 180	
american 179	
ban 179	
feel 176	
torture 175	
miss 173	
money 173	
animal 172	
couple 172	
cop 170	
win 170	
care 169	
high 169	
mueller 169	
tell 168		
awareness 166	
part 166	
street 166	
california 165	
fact 164	
judith 163		
rap 161	
post 160	
cnn 159	
lot 158	
shit 157	
court 156	
criminal 156	
highway 156	
long 156	
baby 155	
obstruction 154	
shot 154	
word 154	
act 153	
medium 153	
agree 152	
convict 152	
hold 152	
big 151	
issue 151	
live 151	
bill 150	
game 150	
gang 150	
jordan 150	
country 149	
journalist 149	
plan 149	
die 148	
seek 148	
stand 148	
week 148	
mystery 146	
illegal 145		
play 144	
sign 144	
burn 143		
hit 143	
book 142	
democrat 142	
force 142	
house 142	
joke 142	
teen 142	
turn 142	
beat 141	
grant 141	
night 141	
world 139	
write 139	
abortion 138	
allegation 138	
cover 138	
mind 138	
sexually 138	
wear 138	
gop 137	
judge 137	
apr 136	
brink 136	
lol 136		
attempted 134	
believe 134	
check 134	
free 134	
city 133	
head 133	
public 133	
jim 132	
allege 130	
teacher 129	
wife 129	
armed 128	
lead 128	
rule 128	
true 128	
hate 127	
bring 126	
culture 126	
history 126	
hope 125	
yeah 125	
deadly 124	
evidence 124	
reason 124	
male 123	
understand 123	
continue 122	
gon 122	
wait 122	
ago 121	
getaway 121	
party 121	
gas 120	
friend 119	
involve 119	
include 118	
literally 118	
sue 118	
tweet 118	
human 117	
member 117	
star 117	
station 117	
search 116	
speak 116	
deal 115	
plead 115	
allegedly 114	
ancestry 114	
government 114	
legal 114	
take 114	
dog 113	
problem 113	
sick 113	
change 112	
carry 111	
potus 111	
catch 110	
job 110	
set 110	
muslim 109	
false 108	
park 107	
sound 107	
female 106	
steal 106	
daughter 105	
guess 105	
youtube 105	
block 104	
hand 104	
ll 104	
morning 104	
review 103	
share 103	
harassment 102	
nj 102	
record 102	
remember 102	
florida 101	
listen 101	
lose 101	
count 100	
place 100	
scene 100	
son 100	
trial 100	
group 99	
help 99	
id 99	
racist 99	
twitter 99	
date 98	
fake 98	
hear 98	
vote 98		
open 97	
question 97	
throw 97	
mother 96	
order 96	
threat 96	
alive 95	
hey 95	
rich 95	
identify 94	
kind 94	
teenager 94	
america 93	
college 93	
friday 93	
hard 93	
player 93	
system 93	
dead 92	
eye 92	
freedom 92	
hell 92	
innocent 92	
mean 92	
protect 92	
solve 92	
theft 92	
comment 91	
congress 91	
matter 91	
experience 90	
isn 90	
turpin 90	
ask 89	
disgust 89	
donald 89	
fbi 89	
north 89	
walk 89	
base 88		
fail 88	
gt 88	
neglect 88	
office 88	
team 88	
church 87	
hire 87	
learn 87	
mass 87	
movie 87	
obstruct 87	
occur 87	
term 87	
kidnap 86	
update 85	
citizen 84	
conspiracy 84	
mental 84	
wow 84	
absolutely 83	
ag 83	
age 83	
anti 83	
as 83	
body 83	
clear 83	
leader 83	
mom 83	
northern 83	
rapist 83	
refuse 83	
sad 83	
threaten 83	
university 83	
war 83	
clinton 82	
defend 82	
degree 82	
republican 82	
type 82	
assange 81	
full 81	
join 81	
know 81	
right 81	
truck 81	
ireland 80	
ive 80	
online 80	
tax 80	
violent 80	
action 79	
kateemccann 79	
plot 79	
owner 78	
receive 78	
business 77	
form 77	
late 77	
prevention 77	
community 76	
consent 76	
file 76	
hundred 76	
irish 76	
ppl 76	
strong 76	
davidhogg 75	
dems 75	
dna 75	
employee 75	
heard 75	
social 75	
aprildryan 74	
david 74	
impeachment 74	
pa 74	
target 74	
brother 73	
center 73	
father 73	
health 73	
idea 73	
physical 73	
pro 73	
raise 73	
aggravate 72	
authority 72	
impeach 72	
truth 72	
article 71	
atrupar 71	
company 71	
defense 71	
serve 71	
top 71	
battery 70	
breitbartnews 70	
close 70	
collusion 70	
dude 70	
fan 70	
felony 70	
forget 70	
imagine 70	
information 70	
service 70	
side 70	
east 69	
move 69	
racism 69	
seth 69	
stupid 69	
mention 68	
national 68	
petition 68	
pretty 68	
society 68	
yo 68	
york 68	
adult 67	
allow 67	
blame 67	
camera 67	
funny 67	
half 67	
immigrant 67	
poor 67	
repmarkmeadows 67	
result 67	
come 66	
corruption 66	
explain 66	
federal 66	
important 66	
local 66	
mike 66	
million 66	
opinion 66	
past 66	
begin 65	
drop 65	
general 65	
link 65	
military 65	
area 64	
bar 64	
campus 64	
detective 64	
fourth 64	
jewelry 64	
light 64	
prosecutor 64	
relationship 64	
save 64		
crazy 63	
heist 63	
incident 63	
road 63	
robber 63	
tactical 63	
trooper 63	
deserve 62	
due 62	
episode 62	
evil 62	
jesus 62	
obama 62	
train 62	
chase 61	
christian 61	
cold 61	
damn 61	
fisa 61	
happy 61	
hour 61	
official 61	
press 61	
testify 61	
tie 61	
trauma 61	
ar 60	
candidate 60	
clerk 60		
rate 60	
recent 60	
remove 60	
shame 60	
sit 60	
bangladesh 59	
ca 59	
class 59	
custody 59	
funder 59	
louisiana 59	
aoc 58	
bc 58	
consider 58	
conviction 58	
inside 58	
level 58	
liberal 58	
political 58	
terrorist 58	
thursday 58	
wasn 58	
ya 58	
abuser 57	
corrupt 57	
create 57	
destroy 57	
eleniagresta 57	
line 57	
realjameswoods 57	
reich 57	
simple 57	
substance 57	
tonight 57	
washington 57	
barr 56	
brutal 56	
catholic 56	
dollar 56	
fox 56	
multiple 56	
safe 56	
stab 56	
stay 56	
theyre 56	
tv 56	
ukip 56	
admit 55	
bitch 55	
drive 55	
ha 55	
incest 55	
jury 55	
king 55	
maga 55	
middle 55	
personal 55	
ryan 55	
senatorromney 55	
statement 55		
accusation 54	
argument 54	
central 54	
ceo 54	
prove 54	
russian 54	
attorney 53	
ave 53	
bbc 53	
campaign 53	
control 53	
dump 53	
emotional 53	
event 53	
fall 53	
fraud 53	
gold 53	
homicide 53	
horrible 53	
ice 53	
ignore 53	
ill 53	
interest 53	
lock 53	
russia 53	
witness 53	
yesterday 53	
ap 52	
buy 52	
detail 52	
fine 52	
grow 52	
hr 52	
mr 52	
plea 52	
security 52	
sense 52	
treat 52	
usa 52	
verbal 52	
wtf 52	
yr 52	
aren 51	
follow 51	
hat 51	
horror 51	
hurt 51	
jessphillips 51	
page 51	
phone 51	
push 51	
rep 51	
reporting 51	
season 51	
sell 51	
south 51	
spend 51	
suffer 51	
suicide 51	
answer 50	
apparently 50	
benshapiro 50	
club 50	
draw 50	
easy 50	
election 50	
excuse 50	
juvenile 50	
mark 50	
nthecity 50	
remy 50	
respond 50	
send 50	
surveillance 50	
sxy 50	
teach 50	
view 50	
wa 50	
wan 50	
add 49	
cool 49	
decide 49	
demand 49	
department 49	
deputy 49	
dr 49	
front 49	
husband 49	
ilhanmn 49	
kit 49	
lawsuit 49	
lmao 49	
path 49	
prosecute 49	
staff 49	
survive 49	
definition 48	
early 48	
fear 48	
heart 48	
hop 48	
indict 48	
intent 48	
lady 48	
letter 48	
list 48	
nigga 48	
pull 48	
realize 48	
scream 48	
sheriff 48	
special 48	
wednesday 48	
behavior 47	
cash 47	
choose 47	
daily 47	
difference 47	
fair 47	
focus 47	
grand 47	
incitement 47	
individual 47	
juice 47	
ohio 47	
slave 47	
town 47	
army 46	
baylor 46	
enjoy 46	
fun 46	
lookout 46	
meet 46	
minor 46	
murderer 46	
punch 46	
religion 46	
response 46	
single 46	
blood 45	
commercial 45	
cry 45	
georgia 45	
grab 45	
large 45	
prevent 45	
project 45	
respect 45	
subject 45	
thehill 45	
thrown 45	
uber 45	
account 44	
advocate 44	
arent 44	
bit 44	
border 44	
cut 44	
daylight 44	
drink 44	
eric 44	
ewarren 44	
interview 44	
slavery 44	
stuff 44	
thief 44	
thousand 44	
wh 44	
admits 43	
capital 43	
chuckcallesto 43	
common 43	
film 43	
fo 43	
john 43	
let 43	
music 43	
nice 43	
presidential 43	
sarah 43	
skynews 43	
terrible 43	
activist 42	
alert 42	
andrewpollackfl 42	
background 42	
celebrate 42	
dad 42	
dangerous 42	
decade 42	
exist 42	
expect 42	
handle 42	
laugh 42	
lawyer 42	
mad 42	
marriage 42	
photo 42	
porn 42	
rest 42	
smh 42	
song 42	
straight 42	
worth 42	
wrld 42	
complete 41	
doctor 41	
double 41	
expose 41	
folk 41	
gay 41	
gender 41	
glad 41	
haven 41	
honor 41	
india 41	
justify 41	
kandra 41	
lawmaker 41	
mall 41	
offense 41	
pd 41	
pick 41	
razor 41	
recognize 41	
red 41	
resource 41	
saturday 41	
small 41	
test 41	
texas 41	
totally 41	
trust 41	
weekend 41	
abusive 40	
al 40	
attention 40	
bullet 40	
cardi 40	
convenience 40	
dismiss 40	
gym 40	
hillary 40	
launch 40	
louise 40	
note 40	
number 40	
repswalwell 40	
rise 40	
tw 40	
way 40	
west 40	
wont 40	
ad 39	
alyssa 39	
angry 39	
atlanta 39	
basically 39	
chance 39	
eat 39	
finally 39	
gtconwayd 39	
lawrence 39	
low 39	
milano 39	
missouri 39	
pennsylvania 39	
punishment 39	
queen 39	
quote 39	
responsible 39	
severe 39	
shock 39	
sister 39	
situation 39	
statutory 39	
suppose 39	
tha 39	
wild 39	
boycott 38	
carlisle 38	
choice 38	
decision 38	
hunt 38	
moment 38	
pleads 38	
presssec 38	
promise 38	
shane 38	
sport 38	
step 38	
swalwell 38	
ta 38	
vehicle 38	
worry 38	
ain 37	
correct 37	
dark 37	
enforcement 37	
enter 37	
entire 37	
gatewaypundit 37	
george 37	
james 37	
oklahoma 37	
picture 37	
provide 37	
short 37	
shouldnt 37	
trigger 37	
tweettruthme 37	
amount 36	
avenue 36	
blue 36	
chief 36	
contact 36	
damage 36	
edkrassen 36	
falsely 36	
fatal 36	
favorite 36	
honestly 36	
knife 36	
nation 36	
piece 36	
rapper 36	
thought 36	
total 36	
uk 36	
wit 36	
yall 36	
capture 35	
challenge 35	
chicago 35	
concern 35	
easter 35	
food 35	
get 35	
grace 35	
harm 35	
horrific 35	
host 35	
huckabee 35	
hussle 35	
info 35	
killer 35	
land 35	
minnesota 35	
msnbc 35	
name 35	
nipsey 35	
pain 35	
policy 35	
promote 35	
room 35	
saam 35	
sander 35	
silence 35	
starr 35	
supporter 35	
thread 35	
track 35	
absolute 34	
address 34	
box 34	
brown 34	
carl 34	
cat 34	
con 34	
debate 34	
democracy 34	
feature 34	
gov 34	
guard 34	
hearing 34	
hillreporter 34	
holmberg 34	
ken 34	
maryland 34	
monday 34	
need 34	
normal 34	
nypd 34	
offer 34	
peace 34	
pr 34	
practice 34	
pregnant 34	
reject 34	
responsibility 34	
role 34	
seanhannity 34	
style 34	
accept 33	
alcohol 33	
appear 33	
apply 33	
brian 33	
bro 33	
context 33	
derry 33	
dumb 33	
earth 33	
education 33	
educationlibs 33	
fred 33	
future 33	
girlfriend 33	
huge 33	
idk 33	
krassenstein 33	
liar 33	
majority 33	
metoo 33	
minute 33	
omg 33	
pass 33	
politician 33	
present 33	
professor 33	
punish 33	
ra 33	
recently 33	
remain 33	
require 33	
series 33	
soldier 33	
warn 33	
actual 32	
air 32	
apprehend 32	
argue 32	
dc 32	
democratic 32	
finish 32	
forward 32	
hill 32	
logic 32	
nurse 32	
nw 32	
partner 32	
penalty 32	
politics 32	
reminder 32	
russell 32	
speech 32	
strip 32	
touch 32	
voice 32	
weird 32	
alleged 31	
amaze 31	
andrew 31	
app 31	
beautiful 31	
buddy 31	
burglary 31	
character 31	
christ 31	
crisis 31	
dnc 31	
email 31	
facebook 31	
felt 31	
hogan 31	
hollywood 31	
idiot 31	
incite 31	
investigator 31	
kidnapping 31	
kodak 31	
married 31	
mask 31	
mine 31	
mo 31	
nfl 31	
plenty 31	
po 31	
pray 31	
republicans 31	
ro 31	
senate 31	
simply 31	
sin 31	
sleep 31	
source 31	
spring 31	
super 31	
tip 31	
tmz 31	
treason 31	
