Word,Count
charge-abuse,10905
state-attorney,335
report-sexual,10917
state-murder,290
woman-kidnap,213
charge-KellyProsecutors,255
state-court,219
woman-abuse,235
report-release,200
state-murder,223
state-sovereignty,216
police-officer,205
police-abuse,319
police-commissioner,213
state-prison,236
sexual-assault,416
case-last,212
people-die,193
murder-charge,160
year-after,160
people-killed,136
year-later,134
people-familiar,132
state-law,122
police-say,63
report-to,62
people-on,60
police-have,60
year-after,60
time-and,59
time-when,57
police-in,56
year-to,51
time-for,50
case-against,48
year-and,47
report-by,46
report-that,44
case-and,43
people-dead,43
case-to,42
police-had,42
state-and,42
police-chief,39
people-had,36
people-killed,36
people-that,35
police-department,35
police-said,33
report-and,33
police-report,32
case-had,31
case-has,30
case-involving,30
year-for,29
year-of,29
time-the,28
charge-in,27
people-from,27
police-officer,27
time-that,26
police-to,25
report-from,25
state-that,25
time-he,25
time-on,25
people-will,24
police-officers,24
state-in,24
police-were,23
report-does,23
report-in,23
woman-and,23
year-at,23
year-later,22
people-he,21
police-that,21
time-as,21
people-for,20
police-station,20
report-of,20
state-Supreme,20
time-I,20
woman-on,20
year-as,20
state-has,19
time-since,19
time-with,19
people-can,18
police-are,18
police-he,18
report-was,18
case-for,17
state-to,17
time-is,17
time-she,17
time-was,17
year-ago:,17
people-dead,16
people-think,16
police-on,16
state-prosecutors,16
time-at,16
year-before,16
people-as,15
people-like,15
woman-at,15
charge-that,14
people-around,14
people-close,14
people-they,14
people-ÃÂ,14
report-as,14
report-said,14
state-trooper,14
state-would,14
time-a,14
time-it,14
year-with,14
case-related,13
charge-him,13
people-get,13
people-is,13
people-need,13
police-official,13
report-foreign,13
state-where,13
case-with,12
case-would,12
people-by,12
people-could,12
people-gathered,12
people-would,12
people-wounded,12
police-as,12
police-chief,12
police-spokesman,12
report-with,12
state-officials,12
state-with,12
woman-has,12
woman-is,12
woman-killed,12
year-over,12
year-was,12
case-because,11
case-will,11
people-still,11
people-whose,11
police-brutality,11
police-commissioner,11
police-custody,11
police-found,11
report-abuse,11
report-last,11
report-the,11
state-had,11
state-is,11
year-while,11
case-were,10
people-die,10
people-own,10
police-arrested,10
police-officers,10
police-officials,10
police-the,10
report-is,10
state-Legislature,10
time-Ms,10
time-after,10
year-ago,10
year-ago,10
year-or,10
case-before,9
case-brought,9
case-on,9
case-went,9
charge-was,9
people-I,9
people-all,9
people-if,9
